format,k,x,quantized,abs_error,rel_error
tiny8,3.800000,6.3095734448021876e3,inf,inf,inf
tiny8,3.900000,7.9432823472431382e3,inf,inf,inf
tiny8,4.000000,1.0000000000000409e4,inf,inf,inf
tiny8,4.100000,1.2589254117942177e4,inf,inf,inf
tiny8,4.200000,1.5848931924611757e4,inf,inf,inf
tiny8,4.300000,1.9952623149689563e4,inf,inf,inf
tiny8,4.400000,2.5118864315096747e4,inf,inf,inf
tiny8,4.500000,3.1622776601684956e4,inf,inf,inf
tiny8,4.600000,3.9810717055351161e4,inf,inf,inf
tiny8,4.700000,5.0118723362728990e4,inf,inf,inf
tiny8,4.800000,6.3095734448021496e4,inf,inf,inf
tiny8,4.900000,7.9432823472430813e4,inf,inf,inf
tiny8,5.000000,1.0000000000000327e5,inf,inf,inf
tiny8,5.100000,1.2589254117942073e5,inf,inf,inf
tiny8,5.200000,1.5848931924611627e5,inf,inf,inf
tiny8,5.300000,1.9952623149689400e5,inf,inf,inf
tiny8,5.400000,2.5118864315096542e5,inf,inf,inf
tiny8,5.500000,3.1622776601684699e5,inf,inf,inf
tiny8,5.600000,3.9810717055350833e5,inf,inf,inf
tiny8,5.700000,5.0118723362728581e5,inf,inf,inf
tiny8,5.800000,6.3095734448020975e5,inf,inf,inf
tiny8,5.900000,7.9432823472430161e5,inf,inf,inf
